question,features,discernatron_reliable,classifier,accuracy
"If you searched for '...', would this article be relevant?",survey & traffic,FALSE,xgbTree,0.6267
"If you searched for '...', would this article be relevant?","survey, page info, and traffic",FALSE,xgbTree,0.6417
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-weekday",FALSE,xgbTree,0.6477
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform",FALSE,xgbTree,0.6597
"If you searched for '...', would this article be relevant?","survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,xgbTree,0.6567
"If you searched for '...', would this article be relevant?","survey, page info, and traffic-by-platform-and-weekday",FALSE,xgbTree,0.6402
"If you searched for '...', would this article be relevant?","survey, page info, pagesize, and pageviews",FALSE,xgbTree,0.6672
"If you searched for '...', would this article be relevant?","survey, page info, log10-pagesize, and log10-pageviews",FALSE,xgbTree,0.6687
"If you searched for '...', would this article be relevant?","survey, page info, standardized pagesize, and standardized pageviews",FALSE,xgbTree,0.6552
"If you searched for '...', would this article be relevant?","survey, page info, normalized pagesize, and normalized pageviews",FALSE,xgbTree,0.6612
"If you searched for '...', would this article be relevant?","survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,xgbTree,0.6552
"If you searched for '...', would this article be relevant?","survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,xgbTree,0.6657
Would you click on this page when searching for '...'?,survey-only,FALSE,xgbTree,0.6246
Would you click on this page when searching for '...'?,survey & page info,FALSE,xgbTree,0.6441
Would you click on this page when searching for '...'?,survey & traffic,FALSE,xgbTree,0.6246
Would you click on this page when searching for '...'?,"survey, page info, and traffic",FALSE,xgbTree,0.6426
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-weekday",FALSE,xgbTree,0.5931
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform",FALSE,xgbTree,0.6426
Would you click on this page when searching for '...'?,"survey, page info, traffic-by-weekday, and traffic-by-platform",FALSE,xgbTree,0.6381
Would you click on this page when searching for '...'?,"survey, page info, and traffic-by-platform-and-weekday",FALSE,xgbTree,0.6141
Would you click on this page when searching for '...'?,"survey, page info, pagesize, and pageviews",FALSE,xgbTree,0.5991
Would you click on this page when searching for '...'?,"survey, page info, log10-pagesize, and log10-pageviews",FALSE,xgbTree,0.5976
Would you click on this page when searching for '...'?,"survey, page info, standardized pagesize, and standardized pageviews",FALSE,xgbTree,0.5856
Would you click on this page when searching for '...'?,"survey, page info, normalized pagesize, and normalized pageviews",FALSE,xgbTree,0.6096
Would you click on this page when searching for '...'?,"survey, page info, standardized log10-pagesize, and standardized log10-pageviews",FALSE,xgbTree,0.5886
Would you click on this page when searching for '...'?,"survey, page info, normalized log10-pagesize, and normalized log10-pageviews",FALSE,xgbTree,0.6021
"If someone searched for '...', would they want to read this article?",survey-only,TRUE,C5.0,0.6158
"If someone searched for '...', would they want to read this article?",survey & page info,TRUE,C5.0,0.6741
"If someone searched for '...', would they want to read this article?",survey & traffic,TRUE,C5.0,0.6158
"If someone searched for '...', would they want to read this article?","survey, page info, and traffic",TRUE,C5.0,0.6697
